Hour,Temperature/K
7126.0,300.66999999999996
7127.0,300.66999999999996
7128.0,300.75
7129.0,300.75
7130.0,300.75
7131.0,300.75
7132.0,300.75
7133.0,300.75
7134.0,300.75
7135.0,300.75
7136.0,300.75
7137.0,300.75
7138.0,300.75
7139.0,300.75
7140.0,300.75
7141.0,300.75
7142.0,300.75
7143.0,300.75
7144.0,300.75
7145.0,300.75
7146.0,300.75
7147.0,300.75
7148.0,300.75
7149.0,300.75
7150.0,300.75
7151.0,300.75
7152.0,300.78999999999996
7153.0,300.78999999999996
7154.0,300.78999999999996
7155.0,300.78999999999996
7156.0,300.78999999999996
7157.0,300.78999999999996
7158.0,300.78999999999996
7159.0,300.78999999999996
7160.0,300.78999999999996
7161.0,300.78999999999996
7162.0,300.78999999999996
7163.0,300.78999999999996
7164.0,300.78999999999996
7165.0,300.78999999999996
7166.0,300.78999999999996
7167.0,300.78999999999996
7168.0,300.78999999999996
7169.0,300.78999999999996
7170.0,300.78999999999996
7171.0,300.78999999999996
7172.0,300.78999999999996
7173.0,300.78999999999996
7174.0,300.78999999999996
7175.0,300.78999999999996
7176.0,300.63
7177.0,300.63
7178.0,300.63
7179.0,300.63
7180.0,300.63
7181.0,300.63
7182.0,300.63
7183.0,300.63
7184.0,300.63
7185.0,300.63
7186.0,300.63
7187.0,300.63
7188.0,300.63
7189.0,300.63
7190.0,300.63
7191.0,300.63
7192.0,300.63
7193.0,300.63
7194.0,300.63
7195.0,300.63
7196.0,300.63
7197.0,300.63
7198.0,300.63
7199.0,300.63
7200.0,300.56
7201.0,300.56
7202.0,300.56
7203.0,300.56
7204.0,300.56
7205.0,300.56
7206.0,300.56
